years,Grand Total,Child,Juvenile,Young Adult,Adult,Unknown
1999,179597,649,21224,32464,125120,140
2000,181614,525,18144,32311,130600,34
2001,180527,533,16939,27771,135264,20
2002,185751,458,15659,28118,141508,8
2003,158687,414,12331,23420,122520,2
2004,176975,377,10540,22381,143672,5
2005,207425,384,9620,23288,174129,4
2006,229193,462,10384,24489,193852,6
2007,265860,496,10881,27440,227043,0
2008,271186,472,11283,26401,233030,0
2009,261973,452,10762,25229,225521,9
2010,269340,472,11102,25213,232550,3
2011,260356,537,13103,26610,220106,0
2012,262058,623,15078,28291,218052,14
2013,255310,609,12038,26469,216166,28
2014,261603,579,10969,25417,224612,26
2015,269296,478,11002,29284,228510,22
2016,272817,440,9775,31092,231493,17
2017,287294,448,10499,33849,242472,26
2018,291621,383,8893,32685,249643,17
2019,277664,430,9441,32447,235334,12
